Компания,Отрасль,Сайт,Целевая роль,ЛПР,Телефоны,Emails,Соцсети,Приоритет,Статус
Бобруйский тепличный комбинат,АПК,bobragro.com,Директор по операциям / IT-директор,Генеральный директор — Садыгов В.; Заместитель генерального директора — Дьяченко А.С.,+375 33 377-08-00; +375 225 43-31-88; +375 225 72-01-20; +375 29 512-03-04,,,B,частично
Пуховичский комбинат хлебопродуктов,АПК,kombikorm.by,Директор по операциям / IT-директор,И.о. директора — Шивяков А.Н.,+375 1713 4-74-19; +375 1713 4-78-20; +375 1713 4-79-34; +375 1713 6-08-20,kombikormkhp@yandex.by,,B,собран
Пинский комбинат хлебопродуктов,АПК,pkhp.by,Директор по операциям / IT-директор,,+375 165 64-02-63; +375 165 64-85-16,info@pkhp.by; PinskKXP@tut.by,,B,собран
Калинковичихлебопродукт,АПК,kkhp.by,Директор по операциям / IT-директор,Генеральный директор — Новак И.Н.,+375 2345 3-25-89; +375 2345 3-25-91; +375 2345 2-05-92,,,B,частично
Агрокомбинат Мачулищи,АПК,akm.by,Директор по операциям / IT-директор,Первый заместитель генерального директора — Мамчиц А.А.,+375 17 504-46-06,marketakm@yandex.ru,,B,собран
Агрокомбинат Ждановичи,АПК,akz.by,Директор по операциям / IT-директор,Генеральный директор — Чуйко Г.П.,+375 17 508-82-82; +375 17 285-27-25; +375 17 508-84-30,,,B,частично
1-я Минская птицефабрика,АПК,1mpf.by,Директор по операциям / IT-директор,Руководитель — Хотько М.,+375 17 504-82-39; +375 17 504-84-89; +375 17 504-81-74,info@1mpf.by,,B,собран
Смолевичи Бройлер,АПК,sbroiler.by,Директор по операциям / IT-директор,Генеральный директор — Рамченко С.,+375 177 65-63-80; +375 177 65-63-92; 8 801 205 7777,sb.office@servolux.by,,B,собран
Птицефабрика Городок,АПК,maragurmana.by,Директор по операциям / IT-директор,Директор — Кузьмич Ю.А.,+375 2139 5-08-25; +375 2139 5-08-13; +375 2139 4-52-85; +375 2139 5-33-15; +375 29 899-60-03,,,B,частично
Агрокомбинат Заря,АПК,zarya-agro.by,Директор по операциям / IT-директор,Генеральный директор — Заровская Е.В.,+375 222 71-12-23; +375 222 71-12-29; +375 222 71-12-61; +375 222 71-12-24; +375 222 71-10-78,,,B,частично
Александрийское,АПК,alexandriya.by,Директор по операциям / IT-директор,Директор — Малашенко Д.В.,+375 2239 76-713; +375 2239 76-722; +375 2239 40-012; +375 2239 70-187; +375 2239 95-144,info@alexandriya.by; bux@alexandriya.by; alexandriya-sbyt@mail.ru,,B,собран
Агрокомбинат Юбилейный,АПК,jubilejnyj.by,Директор по операциям / IT-директор,Директор — Фирсин А.,+375 216 28-35-59; +375 216 28-35-01; +375 216 28-35-02; +375 216 58-34-28; +375 216 58-34-89,ybileyni@tut.by,,B,собран
Гастелловское,АПК,gastellovskoe.by,Директор по операциям / IT-директор,Директор — Соколовский С.,+375 17 504-15-48; +375 17 504-15-47; +375 17 504-15-37; +375 17 510-21-61,info@gastellovskoe.by; gastellovskoe@mail.ru; urist@gastellovskoe.by,,B,собран
Гродненская птицефабрика,АПК,ptica.by,Директор по операциям / IT-директор,Директор — Шиманович С.А.,+375 152 91-53-40; +375 152 91-52-56; +375 152 56-90-74; +375 152 93-51-91,ptica.grodno@tut.by,,B,собран
ОАО Минскжелезобетон,Строительство / стройматериалы,https://mgb.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Шабан А.Г.,+375 17 390-80-02; +375 17 390-80-69; +375 17 390-80-54; +375 17 390-80-08; +375 29 393-05-23; +375 29 660-06-51,minskbeton@mgb.by,,B,собран
ОАО Молодечненский завод металлоконструкций,Строительство / стройматериалы,https://mzmk.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Куприянов Д.,+375 176 77-04-02; +375 176 75-27-56; +375 176 75-45-75; +375 176 75-35-68; +375 25 718-05-16,rupzmk@gmail.com; rupzmk@yandex.by,,B,собран
ОАО Гомельжелезобетон,Строительство / стройматериалы,https://gomelbeton.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Старостов А.П.; Заместитель директора по производству маркетингу и ВЭД — Старостов С.А.,+375 232 55-54-44; +375 232 55-52-22; +375 232 55-88-05; +375 232 55-88-07; +375 296 07-76-80; +375 29 628-52-97,omto@gomelbeton.by,,B,собран
ОАО Смолевичский завод железобетонных изделий,Строительство / стройматериалы,https://sgbi.by,Коммерческий директор / директор по маркетингу,Директор — Колтович С.В.,+375 29 108-19-19; +375 29 391-35-24,info@sgbi.by; zavodzbi@tut.by,,B,собран
Минский оконный завод,Строительство / стройматериалы,https://pvhokna.by,Коммерческий директор / директор по маркетингу,,+375 17 360-56-00; +375 29 665-07-65; +375 29 749-04-65,pvhokna.by@mail.ru,,B,собран
DIVA Group,Строительство / стройматериалы,https://diva-group.by,Коммерческий директор / директор по маркетингу,Директор — Пилипенко Д.,+375 44 742-72-72; +375 29 642-72-62; +375 29 605-21-71; +375 29 644-48-10,divagroup.by@gmail.com,,B,частично
СООО Новополоцкий завод технологических металлоконструкций,Строительство / стройматериалы,https://nztm.by,Коммерческий директор / директор по маркетингу,Первый заместитель генерального директора — главный инженер — Свирко И.,+375 214 43-50-60; +375 214 43-40-05; +375 214 43-40-58; +375 29 379-97-54; +375 29 166-01-24,nztm@nztm.by; zakaz@nztm.by,,B,собран
ОАО Гомельский домостроительный комбинат,Строительство / стройматериалы,https://gdsk.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Гончаров А.М.,+375 232 45-14-44; +375 232 45-16-00; +375 232 45-15-49; +375 232 53-53-00; +375 29 199-44-99; +375 33 633-44-99,info@gdsk.by,,B,собран
СООО АлюминТехно,Строительство / стройматериалы,https://alutech-group.com,Коммерческий директор / директор по маркетингу,Директор — Советников С.И.; Генеральный директор ГК АЛЮТЕХ — Жуков А.,+375 17 345-81-31; +375 17 345-81-44,office@alt.by,,B,собран
ОАО Светлогорский завод ЖБИиК,Строительство / стройматериалы,https://jbik.by,Коммерческий директор / директор по маркетингу,Директор — Барышнин И.А.,+375 2342 7-57-73; +375 2342 7-57-42; +375 2342 4-30-39; +375 44 522-55-10; +375 29 616-22-78,info@jbik.by; tsc@jbik.by; tdjbik@jbik.by,,B,собран
ОАО Кричевский завод ЖБИ,Строительство / стройматериалы,https://zavod-jbi.by,Коммерческий директор / директор по маркетингу,Директор — Шмееров П.А.,+375 2241 3-47-74; +375 2241 3-45-98,jbi-krichev@yandex.by,,B,собран
ПТ ООО Тайфун,Строительство / стройматериалы,https://taifun.by,Коммерческий директор / директор по маркетингу,Заместитель генерального директора по снабжению и административным вопросам — Шупицкий М.В.,+375 152 68-88-11; +375 152 68-88-12; +375 17 374-38-22; +375 17 361-97-43,info@taifun.by,,B,собран
ООО ИЛМАКС,Строительство / стройматериалы,https://ilmax.by,Коммерческий директор / директор по маркетингу,Директор — Пушкаревич П.И.,+375 17 336-72-72; +375 177 59-73-00,salesrb@ilmax.by; 7592@ilmax.by,,B,собран
СООО Хенкель Баутехник,Строительство / стройматериалы,https://ceresit.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Новицкий С.,+375 17 519-03-00; +375 17 519-03-01; +375 29 187-02-77; +375 29 368-78-28; +375 29 148-22-69; +375 44 742-00-26,,,B,частично
ЗАО Могилёвский КСИ,Строительство / стройматериалы,https://mglksi.by,Коммерческий директор / директор по маркетингу,Директор — Карпов А.С.,+375 222 72-22-38; +375 222 72-22-14; +375 29 700-74-00; +375 29 700-64-00; +375 29 700-84-00; +375 44 502-31-20,sbyt@mglksi.by; magazin@mglksi.by,,B,собран
ОАО Брестский КСМ KERABEL,Строительство / стройматериалы,https://kerabel.by,Коммерческий директор / директор по маркетингу,,+375 162 23-60-26; +375 162 40-83-78; +375 162 50-17-89; +375 162 47-91-72; +375 162 40-94-67; +375 162 95-02-10,info@kerabel.by; sales@kerabel.by,,B,собран
ОАО Опытный завод металлоконструкций,Строительство / стройматериалы,https://ozmk.by,Коммерческий директор / директор по маркетингу,Директор управляющей организации — Чекмарёв А.Н.,+375 17 204-02-33; +375 17 204-02-22; +375 17 204-11-51; +375 17 204-08-83; +375 17 204-03-17; +375 17 204-40-50,ozmk@ozmk.by,,B,собран
ОАО Минский завод отопительного оборудования,Строительство / стройматериалы,https://radiator.by,Коммерческий директор / директор по маркетингу,Директор — Булда В.А.,+375 17 203-12-25; +375 17 204-00-04; +375 17 204-62-04; +375 17 204-40-38; +375 17 203-14-00,radiator@radiator.by,,B,собран
ОАО Лидастройматериалы,Строительство / стройматериалы,https://lsm.by,Коммерческий директор / директор по маркетингу,Директор — Мутилович А.А.,+375 154 62-10-90; +375 154 62-10-83; +375 154 62-10-85; +375 154 62-10-92; +375 154 62-10-99,info@lsm.by; m@lsm.by,,B,собран
ЗАО Белтепломашстрой,Строительство / стройматериалы,https://beltepl.by,Коммерческий директор / директор по маркетингу,,+375 17 301-10-00; +375 17 301-30-00; +375 29 680-35-99; +375 29 757-72-30; +375 25 600-27-25,beltepl@beltepl.by; service@beltepl.by; vent@beltepl.by; armatura@beltepl.by,,B,собран
ОАО Крановый завод,Строительство / стройматериалы,https://craneplant.com,Коммерческий директор / директор по маркетингу,Директор — Антипов Н.С.,+375 1795 5-24-46; +375 1795 28-445; +375 1795 5-71-11,info@gpo.by; buh@gpo.by,,B,собран
ОАО Строймаш,Строительство / стройматериалы,https://stroymash.by,Коммерческий директор / директор по маркетингу,,+375 17 379-01-94; +375 17 379-02-11; +375 17 350-70-25; +375 17 243-81-98; +375 44 50-51-673; +375 44 571-66-14,info@stroymash.by; market@stroymash.by,,B,собран
ОАО Завод сборного железобетона №1,Строительство / стройматериалы,https://lega.by,Коммерческий директор / директор по маркетингу,,+375 17 398-91-58,lega@lega.by,,B,собран
ООО БелМинералГрупп,Строительство / стройматериалы,https://basaltizol.by,Коммерческий директор / директор по маркетингу,,+375 162 52-89-77; +375 29 228-51-65,basalt.office@gmail.com,,B,частично
ОАО Минский завод строительных материалов,Строительство / стройматериалы,https://mzsm.org,Коммерческий директор / директор по маркетингу,Генеральный директор — Яловик Д.А.; Заместитель генерального директора по сбыту маркетингу и ВЭД — Братищенко А.С.,+375 17 251-91-33; +375 17 251-75-02; +375 17 252-73-71; +375 17 252-92-94; +375 17 252-83-76; +375 17 251-63-21,info@mzsm.org,,B,собран
ТУТ и ТАМ Логистикс,Логистика / транспорт,ttl.by,Директор по операциям / IT-директор,Директор — Резанов Р.А.; Директор по развитию — Улиткин Д.,+375 17 389-06-41; +375 44 591-90-62; +375 29 196-90-91; +375 44 593-98-36,v_leushkina@ttl.by; ma_vasilevsky@ttl.by; a_shchurok@ttl.by; t_rogozhkina@ttl.by,,B,собран
Прадиус Нова,Логистика / транспорт,pradius.by,Директор по операциям / IT-директор,Директор — Поплыко А.,+375 17 543-51-00; +375 17 543-51-02; +375 17 543-51-17; +375 17 543-51-03; +375 29 899-42-92; +375 29 140-10-67,info@pradius.by,,B,собран
Высотка Логистик,Логистика / транспорт,vysotka-logistic.by,Директор по операциям / IT-директор,,+375 29 644-28-50; +375 232 92-47-61,,,B,частично
НОЙТЭК Лоджистикс Бел,Логистика / транспорт,noytech.by,Директор по операциям / IT-директор,,+375 17 269-70-45,info.by@noytech.com,,B,собран
Логистическая Компания Партнёр,Логистика / транспорт,partnerlogistics.by,Директор по операциям / IT-директор,,+375 17 215-04-14,hello@partnerlogistics.by,,B,собран
ТМРоут,Логистика / транспорт,tmrout.by,Директор по операциям / IT-директор,,+375 17 397-31-01; +375 17 398-77-38; +375 44 765-13-91; +375 29 646-56-88,,,B,частично
Сапсан Экспресс,Логистика / транспорт,sapex.by,Директор по операциям / IT-директор,,+375 17 323-44-40; +375 44 593-44-40; +375 29 839-44-40,,,B,частично
МеКуС,Логистика / транспорт,mekus.by,Директор по операциям / IT-директор,,+375 17 234-26-92; +375 17 234-66-92; +375 44 716-26-92,post@mekus.by,,B,собран
Корэксгарант,Логистика / транспорт,korex.by,Директор по операциям / IT-директор,Директор — Белокурский А.,+375 17 224-11-00; +375 29 636-86-75,,,B,частично
ТДК Ирбис,Логистика / транспорт,autotrans.by,Директор по операциям / IT-директор,Директор — Тюрло А.В.,+375 17 373-33-33; +375 29 615-52-02; +375 29 557-18-02; +375 29 707-08-07; +375 44 707-08-07,,,B,частично
ТЛК Прилесье,Логистика / транспорт,prilesie.by,Директор по операциям / IT-директор,Генеральный директор — Махинрад С.,+375 17 517-54-39,info@prilesie.by,,B,собран
Белтрансспецавто,Логистика / транспорт,btsa.by,Директор по операциям / IT-директор,Директор — Малеев А.Б.; Первый заместитель директора — Александрович А.А.; Заместитель директора – главный инженер — Лобов Ю.В.,+375 17 270-46-78; +375 17 270-46-77; +375 17 226-59-07; +375 17 200-57-99; +375 17 270-57-99; +375 44 570-35-76,beltransspec@udp.gov.by; logistpass@btsa.by,,B,собран
Direxxt,Логистика / транспорт,direxxt.com,Директор по операциям / IT-директор,Директор — Колбек О.В.,+375 29 700-22-66; +375 44 700-22-66; +375 25 700-22-66; +375 17 375-00-00,info@direxxt.com,,B,собран
Миноблавтотранс,Логистика / транспорт,minoblavtotrans.by,Директор по операциям / IT-директор,Генеральный директор — Федорович В.Г.,+375 17 270-15-91,,,B,частично
Гроднооблавтотранс,Логистика / транспорт,grodnotrans.by,Директор по операциям / IT-директор,Генеральный директор — Харченко Д.В.,+375 152 62-00-67; +375 152 62-00-68; +375 152 62-00-57; +375 152 62-00-70; +375 152 62-30-25,avtotrans@grodnotrans.by; op@grodnotrans.by; av@grodnotrans.by,,B,собран
Доставка24,Логистика / транспорт,dostavka24.by,Директор по операциям / IT-директор,,+375 17 388-41-66; +375 17 388-42-66; +375 29 671-90-90; +375 33 671-90-90; +375 29 383-22-66; +375 33 383-22-66,info@dostavka24.by; support@dostavka24.by,,B,собран
РАМТК Экспедиция,Логистика / транспорт,beldostavka.by,Директор по операциям / IT-директор,,+375 44 592-13-94; +375 44 795-01-01,,,B,частично
ДжиДжи Транс,Логистика / транспорт,ggtrans.by,Директор по операциям / IT-директор,,+375 17 221-85-02; +375 29 526-68-49,info@ggtrans.by,,B,собран
Кюне и Нагель,Логистика / транспорт,kuehne-nagel.com,Директор по операциям / IT-директор,,+375 17 269-70-45,info.minsk@kuehne-nagel.com,,B,собран
ТВ Логистик,Логистика / транспорт,tvlogistic.by,Директор по операциям / IT-директор,,+375 17 218-33-26,info@tvlogistic.by,,B,собран
Neoterra Logistic,Логистика / транспорт,neoterra.by,Директор по операциям / IT-директор,Директор — Беляева Т.Н.,+375 17 336-10-071; +375 17 336-10-072,info@neoterra.by; sales@neoterra.by,,B,собран
ТКЛ Маркет,Логистика / транспорт,transcomlogistic.com,Директор по операциям / IT-директор,,+375 17 377-91-26; +375 44 555-91-59; +375 44 556-25-23,info@tcl.by,,B,собран
Белгруз Карго Мастер,Логистика / транспорт,belgruz.by,Директор по операциям / IT-директор,Директор — Зырянов А.В.,+375 17 351-24-18; +375 17 231-98-31; +375 29 652-20-00,belgruz@belgruz.by,,B,собран
Белтрансэкспедиция,Логистика / транспорт,beltrans.by,Директор по операциям / IT-директор,,+375 17 317-52-71; +375 17 209-12-71; +375 17 209-23-69; +375 17 309-19-12; +375 17 309-19-65,info@beltrans.by,,B,собран
Озерцо-Логистик,Логистика / транспорт,ozerco.by,Директор по операциям / IT-директор,Директор — Жигунов В.В.,+375 17 507-60-02; +375 17 507-61-36; +375 17 507-62-93; +375 17 507-61-64; +375 17 507-62-45,info@ozerco.by; otu@ozerco.by; buh@ozerco.by,,B,собран
ОптиТрейдГрупп,Оптовая торговля / дистрибуция,optitrade.by,Коммерческий директор / директор по продажам,,+375 29 325-50-11; +375 29 696-05-97,info@optitrade.by,,B,собран
Петрокар,Оптовая торговля / дистрибуция,petrokar.by,Коммерческий директор / директор по продажам,,+375 17 370-16-31,info@petrokar.by,,B,собран
Продтовары,Оптовая торговля / дистрибуция,prodtovary.com,Коммерческий директор / директор по продажам,Генеральный директор — Козич И.М.,+375 162 21-53-00; +375 29 646-00-70; +375 29 128-45-10,filial3@prodtovary.com,,B,собран
Нереида,Оптовая торговля / дистрибуция,nereida.by,Коммерческий директор / директор по продажам,,+375 17 355-33-33; +375 29 661-62-40; +375 29 689-50-51,info@nereida.by; service@nereida.by,,B,собран
СТТ,Оптовая торговля / дистрибуция,stt.by,Коммерческий директор / директор по продажам,,+375 17 399-71-01; +375 44 714-97-14; +375 29 767-97-14,stt@stt.by,,B,собран
Мератех,Оптовая торговля / дистрибуция,meratech.by,Коммерческий директор / директор по продажам,Директор — Игнатович Н.Ф.,+375 17 355-09-41; +375 29 324-21-52; +375 33 344-79-31; +375 25 536-15-97,info@meratech.by,,B,собран
Медвакс,Оптовая торговля / дистрибуция,medvax.by,Коммерческий директор / директор по продажам,Генеральный директор — Стома О.В.,+375 17 387-02-02,opt@medvax.by,,B,собран
Интервесп,Оптовая торговля / дистрибуция,intervesp.by,Коммерческий директор / директор по продажам,,+375 17 224-77-74; +375 29 190-05-60; +375 44 715-35-60,sasha@intervesp.by,,B,собран
Эс Пи Ай Трейд,Оптовая торговля / дистрибуция,belinstrument.by,Коммерческий директор / директор по продажам,,+375 17 511-98-31; +375 17 511-98-32; +375 29 123-32-33; +375 33 323-32-33,spi@belinstrument.by; sk@belinstrument.by,,B,собран
Канцсервис,Оптовая торговля / дистрибуция,kanc.by,Коммерческий директор / директор по продажам,,+375 17 348-00-09; +375 17 347-00-09; +375 44 563-37-74,sbyt@kanc.by,,B,собран
Бумажная компания,Оптовая торговля / дистрибуция,bumcom.by,Коммерческий директор / директор по продажам,,+375 17 388-20-46; +375 17 388-20-45; +375 17 542-32-11,info@bumcom.by,,B,собран
АвтоСпейс,Оптовая торговля / дистрибуция,autospace.by,Коммерческий директор / директор по продажам,,+375 17 291-89-10; +375 17 291-89-20; +375 17 291-83-20; +375 44 791-88-87; +375 29 791-88-87,,,B,частично
Чистый берег,Оптовая торговля / дистрибуция,bereg.by,Коммерческий директор / директор по продажам,Директор — Подгайский В.,+375 17 212-32-16; +375 17 279-43-54; +375 29 679-43-54; +375 29 357-26-56,zakaz@bereg.by; shop@bereg.by,,B,собран
Гарсия,Оптовая торговля / дистрибуция,garsia.by,Коммерческий директор / директор по продажам,Член совета директоров — Тюшкевич С.; Заместитель директора по развитию — Вечер Е.,+375 17 388-12-05,,,B,частично
Сэльвин,Оптовая торговля / дистрибуция,sellwin.by,Коммерческий директор / директор по продажам,,+375 17 269-33-33; +375 29 397-57-37,info@sellwingroup.com,,B,собран
ИнтАГ,Оптовая торговля / дистрибуция,intag.by,Коммерческий директор / директор по продажам,Директор — Воронов В.В.,+375 17 216-82-16; +375 29 131-03-92,info@intag.by,,B,собран
МераГолд,Оптовая торговля / дистрибуция,meragold.by,Коммерческий директор / директор по продажам,Директор — Хайков Г.; Первый заместитель директора — Гижа С.,+375 44 500-50-51; +375 29 654-44-04; +375 232 232-318; +375 232 232-317; +375 232 232-316,,,B,частично
Белвнешрыбторг,Оптовая торговля / дистрибуция,rybtorg.by,Коммерческий директор / директор по продажам,Директор — Ткаченко В.К.,+375 17 502-64-64; +375 17 204-30-20,info@rybtorg.by,,B,собран
Белмедснаб,Оптовая торговля / дистрибуция,belmedsnab.by,Коммерческий директор / директор по продажам,,+375 29 673-93-99; +375 33 336-71-70,info@belmedsnab.by,,B,собран
Пластифика,Оптовая торговля / дистрибуция,plastifica.by,Коммерческий директор / директор по продажам,,+375 17 337-12-41; +375 29 390-75-00; +375 29 390-89-00,info@plastifica.by,,B,собран
Караван,Оптовая торговля / дистрибуция,caravan.by,Коммерческий директор / директор по продажам,Директор — Нечай А.Г.,+375 17 268-55-37; +375 44 508-00-88; +375 44 769-96-30,dostavka@caravan.by; coordinator@caravan.by,,B,собран
Ассомедика,Оптовая торговля / дистрибуция,asomedica.by,Коммерческий директор / директор по продажам,,+375 17 307-76-16,,,B,частично
ИскаМедТех,Оптовая торговля / дистрибуция,imt.by,Коммерческий директор / директор по продажам,Директор — Еленский А.В.,+375 17 399-10-99; +375 29 665-06-06,info@imt.by,,B,собран
Атлант-М,Ритейл / авто,atlantm.by,Директор по маркетингу / коммерческий директор,Генеральный директор — Сукач И.Н.,+375 33 642-42-42; +375 29 506-02-06; +375 44 506-02-06; +375 29 331-11-11; +375 33 331-11-11,exeed@atlantm.com,,B,собран
Минск-Лада,Ритейл / авто,minsk-lada.by,Директор по маркетингу / коммерческий директор,Генеральный директор — Стельмах А.,+375 17 279-97-97; +375 29 679-97-97; +375 17 279-97-70; +375 29 698-91-91; +375 17 279-97-77,minsk-lada@minsk-lada.by; auto@minsk-lada.by; zakaz@minsk-lada.by,,B,собран
Эмир Моторс Тойота Центр Минск,Ритейл / авто,toyota.by,Директор по маркетингу / коммерческий директор,Директор — Крепчук Т.,+375 17 356-65-55; +375 17 202-65-55; +375 17 202-67-90; +375 44 779-65-95; +375 17 202-67-75; +375 29 628-00-34; +375 44 561-77-77,,,B,частично
Джили Центр Минск,Ритейл / авто,geely-minsk.by,Директор по маркетингу / коммерческий директор,Директор — Чертыбок В.В.,+375 29 336-57-57; +375 33 336-57-57; +375 17 336-67-67,info@geely-minsk.by; parts@geely-minsk.by,,B,собран
Автоидея,Ритейл / авто,autoidea.by,Директор по маркетингу / коммерческий директор,Директор — Князев И.,+375 29 607-11-77; +375 17 232-00-00,info@autoidea.by,,B,собран
Энергия ГмбХ Mercedes-Benz,Ритейл / авто,mercedes-benz.by,Директор по маркетингу / коммерческий директор,,+375 17 309-99-99; +375 29 603-99-99,info@mercedes-benz.by,,B,собран
Хёндэ АвтоГрад,Ритейл / авто,hyundai.by,Директор по маркетингу / коммерческий директор,Генеральный директор — Матусевич В.,+375 17 333-50-00; +375 17 333-50-05; +375 17 333-50-26; +375 29 525-86-10; +375 17 333-50-40; +375 17 333-50-30,call@hyundai.by,,B,собран
Автопромсервис,Ритейл / авто,aps.by,Директор по маркетингу / коммерческий директор,,+375 17 345-45-01; +375 17 345-45-05; +375 17 345-45-03; +375 29 391-00-05; +375 17 287-84-00; +375 29 303-33-11,,,B,частично
ФелОкт-сервис Skoda,Ритейл / авто,skoda-auto.by,Директор по маркетингу / коммерческий директор,,+375 44 721-00-00; +375 29 721-00-00; +375 25 721-00-00; +375 17 318-00-00,orc1@skoda-auto.by; odoparts@skoda-auto.by; kuzov@skoda-auto.by; ofs@skoda-auto.by,,B,собран
Armtek,Ритейл / авто,armtek.by,Директор по маркетингу / коммерческий директор,Генеральный директор — Гринкевич В.Н.,+375 29 525-72-33; 7600,,,B,частично
ZIKO,Ритейл / авто,ziko.by,Директор по маркетингу / коммерческий директор,Генеральный директор — Борткевич Д.; Директор по маркетингу — Петкевич В.,+375 17 388-06-33; +375 29 524-66-66; +375 29 324-66-66,,,B,частично
7 Карат,Ритейл / авто,7karat.by,Директор по маркетингу / коммерческий директор,Директор — Авилов С.; Собственник — Корягин А.,+375 44 711-77-22; +375 17 290-25-80; +375 17 290-25-81; +375 17 290-25-83; +375 17 235-17-04,info@7karat.by; reception@7karat.by,,B,собран
Царское Золото,Ритейл / авто,carskoe.by,Директор по маркетингу / коммерческий директор,,+375 29 840-13-28; +375 29 716-44-44,,,B,частично
Ювелирный завод Zorka,Ритейл / авто,zorkagold.com,Директор по маркетингу / коммерческий директор,Генеральный директор — Савицкая Д.,+375 17 230-16-68; +375 17 344-44-20; +375 29 670-47-49; +375 29 670-47-64,info@zorkagold.by; opt@zorkagold.by; shop@zorkagold.by,,B,собран
TECHNO,Ритейл / авто,techno.by,Директор по маркетингу / коммерческий директор,Основатель — Селицкий С.,+375 33 389-29-68; +375 33 384-36-55; +375 29 766-63-20; +375 29 630-59-96; +375 33 384-36-54,info@techno.by,,B,собран
Буслик,Ритейл / авто,buslik.by,Директор по маркетингу / коммерческий директор,Генеральный директор — Мисяченко С.,+375 17 289-40-00,help@buslik.by,,B,собран
ProStore,Ритейл / авто,prostore.by,Директор по маркетингу / коммерческий директор,Управляющий директор — Бушин С.; Финансовый директор — Синюк Д.,+375 17 336-77-86; +375 29 126-76-76; +375 17 336-88-62; +375 44 523-33-33; +375 17 336-77-82,info@prostore.by,,B,собран
Альфа аптека,Ритейл / авто,alfaapteka.by,Директор по маркетингу / коммерческий директор,Собственник — Шабовту О.,+375 44 747-00-77; +375 29 747-00-77; +375 25 747-00-77,info@alfaapteka.by,,B,собран
Аптеки ADEL,Ритейл / авто,apteka-adel.by,Директор по маркетингу / коммерческий директор,Собственник холдинга — Томчин Л.,+375 44 683-87-87; +375 29 683-87-87; +375 25 683-87-87; +375 33 683-87-87; +375 44 503-42-64,info@apteka-adel.by,,B,собран
ЗООмаркет e-zoo,Ритейл / авто,e-zoo.by,Директор по маркетингу / коммерческий директор,,7255,,,B,частично
Торговый дом 1000 мелочей,Ритейл / авто,1000melochey.by,Директор по маркетингу / коммерческий директор,,+375 17 280-45-46; +375 17 242-45-46; +375 29 644-66-08; +375 33 304-00-08,,,B,частично
Микро Лизинг,Профессиональные услуги / финансы,https://mikro-leasing.by,Управляющий партнёр / директор,Основатель группы Mikro Kapital — Трани В.,+375 29 323-77-00,,,B,частично
А-Лизинг,Профессиональные услуги / финансы,https://a-leasing.by,Управляющий партнёр / директор,Директор — Исмагилов Р.,+375 44 701-70-70; +375 29 533-33-88,info@a-leasing.by,,B,собран
РЕСО-БелЛизинг,Профессиональные услуги / финансы,https://reso.by,Управляющий партнёр / директор,Директор — Коротоножкин А.В.,+375 17 375-09-03; +375 17 375-95-24; +375 17 395-62-53; +375 29 699-02-63; +375 29 699-02-64; +375 44 757-42-65; +375 44 757-63-20,info@reso.by,,B,собран
Агролизинг,Профессиональные услуги / финансы,https://agroleasing.by,Управляющий партнёр / директор,,+375 17 311-28-82; +375 17 284-43-02; +375 17 284-68-44; +375 17 242-13-81,info@agroleasing.by,,B,собран
АСБ Лизинг,Профессиональные услуги / финансы,https://asbleasing.by,Управляющий партнёр / директор,Директор — Терех С.В.,+375 17 272-03-06; +375 17 200-03-06; +375 17 200-35-98; +375 17 200-36-62,office@asbleasing.by,,B,собран
ВТБ Лизинг,Профессиональные услуги / финансы,http://vtb-leasing.by,Управляющий партнёр / директор,Директор предприятия — Журок Н.,+375 17 388-54-00; +375 17 388-54-01,leasingby@vtb-leasing.com; prby@vtb-leasing.com; requestby@vtb-leasing.com; feedbackby@vtb-leasing.com,,B,собран
Промагролизинг,Профессиональные услуги / финансы,https://pal.by,Управляющий партнёр / директор,Генеральный директор — Каротких П.,+375 17 334-34-35; +375 17 311-35-80,info@pal.by,,B,собран
Лизинг-Ресурс,Профессиональные услуги / финансы,https://lir.by,Управляющий партнёр / директор,Директор — Герасимович И.А.,+375 17 394-30-05; +375 29 161-06-10,info@lir.by,,B,собран
Белбизнеслизинг,Профессиональные услуги / финансы,https://bbl.by,Управляющий партнёр / директор,,+375 44 777-58-58; +375 17 311-90-95,info@bbl.by; sales@bbl.by,,B,собран
Внешнеэкономическая Лизинговая Компания,Профессиональные услуги / финансы,https://vlc.by,Управляющий партнёр / директор,Директор — Ореховский М.В.,+375 17 270-74-47; +375 17 270-74-37; +375 29 142-27-81,info@vlc.by,,B,собран
СтрахЭкспертГрупп,Профессиональные услуги / финансы,https://belbroker.by,Управляющий партнёр / директор,Директор — Данильчик А.В.,+375 17 270-00-87; +375 33 300-27-27,info@belbroker.by,,B,собран
Институт недвижимости и оценки,Профессиональные услуги / финансы,https://ino.by,Управляющий партнёр / директор,Генеральный директор — Красовская В.В.,+375 29 555-57-52; +375 17 364-51-21,ino@tut.by,,B,собран
Центр промышленной оценки,Профессиональные услуги / финансы,https://cpo.by,Управляющий партнёр / директор,Директор — Музыченко Н.А.,+375 17 310-36-37; +375 29 154-34-35; +375 29 171-47-14,info@cpo.by; auction@cpo.by,,B,собран
